00062367-s	gle:lemma	oirbheartach
00062626-s	gle:lemma	dea-lámhach
00062626-s	gle:lemma	seiftiúil
00062626-s	gle:lemma	deaslámhach
00062626-s	gle:lemma	innealta
00062740-s	gle:lemma	luathlámhach
00062740-s	gle:lemma	mionbhradach
00063087-s	gle:lemma	tráthúil
00063087-s	gle:lemma	géarintinneach
00063277-a	gle:lemma	ciotrúnta
00063563-s	gle:lemma	útamálach
00063563-s	gle:lemma	tuathalach
00063563-s	gle:lemma	ciotach
00063563-s	gle:lemma	crúbach
00063563-s	gle:lemma	anásta
00063563-s	gle:lemma	sliopach
00063563-s	gle:lemma	tútach
00064479-a	gle:lemma	buntáisteach
00064479-a	gle:lemma	tairbheach
00064479-a	gle:lemma	sochrach
00064787-s	gle:lemma	ar sochar
00064787-s	gle:lemma	tairbhiúil
00064787-s	gle:lemma	maith
00064787-s	gle:lemma	fiúntach
00064787-s	gle:lemma	tairbheach
00064787-s	gle:lemma	sochrach
00064787-s	gle:lemma	ar fónamh
00065184-s	gle:lemma	ar leith
00065184-s	gle:lemma	fabhrach
00065184-s	gle:lemma	idirdhealaitheach
00065488-a	gle:lemma	míbhuntáisteach
00065791-a	gle:lemma	dána
00065791-a	gle:lemma	guaisbheartach
00065791-a	gle:lemma	fiontrach
00065791-a	gle:lemma	amhantrach
00066146-s	gle:lemma	dána
00066146-s	gle:lemma	dásachtach
00066146-s	gle:lemma	léidmheach
00066146-s	gle:lemma	teanntásach
00066146-s	gle:lemma	fiontrach
00066146-s	gle:lemma	amhantrach
00066146-s	gle:lemma	móruchtúil
00066933-s	gle:lemma	cinnte
00067038-a	gle:lemma	inmholta
00067638-s	gle:lemma	maith
00067767-a	gle:lemma	domholta
00068278-a	gle:lemma	éigríonna
00068566-a	gle:lemma	aeróbach
00069060-a	gle:lemma	anaeróbach
00069217-a	gle:lemma	aeróbach
00069531-a	gle:lemma	aeistéitiúil
00070427-s	gle:lemma	céadfach
00070839-s	gle:lemma	neamhealaíonta
00070939-a	gle:lemma	feartha
00071242-s	gle:lemma	buailte
00071559-s	gle:lemma	tugtha
00071559-s	gle:lemma	claon
00071992-a	gle:lemma	neamhspleách
00073048-a	gle:lemma	galánta
00073048-a	gle:lemma	gothach
